Id,Label,timeset,indegree,outdegree,Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
oxnineteen07,oxnineteen07,,0,2,2,0,1,1,1,0,0
elonmusk,elonmusk,,948,0,948,1,0,0,0,0,0
toonswapfinance,toonswapfinance,,869,0,869,0.879818,0,0,0,0,0
cheolitowinz,cheolitowinz,,0,2,2,0,1,1,1,0,0
pprevos,pprevos,,0,1,1,0,1,1,1,0,85
tweetsbyhk,tweetsbyhk,,20,0,20,0.019773,0,0,0,0,85
mdowner11,mdowner11,,0,1,1,0,1,1,1,0,1
christoq,christoq,,145,1,146,0.398406,0,0,0,0,1
unlucky_meeh,unlucky_meeh,,0,2,2,0,1,1,1,0,0
j4sm1nex0x0_1,j4sm1nex0x0_1,,0,2,2,0,1,1,1,0,0
dimplewin1,dimplewin1,,0,2,2,0,1,1,1,0,0
0xigent,0xigent,,0,3,3,0,1,1,1,0,47
angel_funsized,angel_funsized,,336,0,336,0.348287,0,0,0,0,47
novemberhokii,novemberhokii,,0,2,2,0,1,1,1,0,0
itsmehyacinth_,itsmehyacinth_,,0,2,2,0,1,1,1,0,0
ox_minniewin,ox_minniewin,,0,2,2,0,1,1,1,0,0
pommawolf,pommawolf,,0,1,1,0,1,1,1,0,2
lynn_of_cait,lynn_of_cait,,9,0,9,0.008898,0,0,0,0,2
auflevelnn,auflevelnn,,0,2,2,0,1,1,1,0,0
shaikh9bigwin,shaikh9bigwin,,0,2,2,0,1,1,1,0,0
shinryuzean,shinryuzean,,0,2,2,0,1,1,1,0,0
queenza_vitte,queenza_vitte,,1,1,2,0.002748,0,0,0,0,3
reen___01,reen___01,,0,1,1,0,1,1,1,0,47
hello_sherem,hello_sherem,,0,2,2,0,1,1,1,0,47
anrofii15_,anrofii15_,,0,2,2,0,1,1,1,0,0
vvorldcup2022,vvorldcup2022,,0,2,2,0,1,1,1,0,0
jirobigwin,jirobigwin,,0,1,1,0,1,1,1,0,47
oursaturnmark,oursaturnmark,,0,2,2,0,1,1,1,0,0
0xwoles,0xwoles,,0,2,2,0,1,1,1,0,0
oxvessel,oxvessel,,0,3,3,0,1,1,1,0,47
hannywidia,hannywidia,,0,2,2,0,1,1,1,0,0
philfelix12,philfelix12,,0,1,1,0,1,1,1,0,4
matthewjmartin_,matthewjmartin_,,9,0,9,0.008898,0,0,0,0,4
pengenwin18,pengenwin18,,0,2,2,0,1,1,1,0,0
baekhyunwoxn,baekhyunwoxn,,0,2,2,0,1,1,1,0,0
jf_samosir,jf_samosir,,0,2,2,0,1,1,1,0,0
katedailywins_,katedailywins_,,0,3,3,0,1,1,1,0,47
0xnovrain,0xnovrain,,0,2,2,0,1,1,1,0,0
jizzen99,jizzen99,,0,3,3,0,1,1,1,0,47
tentuaja_bigwin,tentuaja_bigwin,,0,1,1,0,1,1,1,0,47
nlyyyx,nlyyyx,,0,2,2,0,1,1,1,0,0
