country_name	country_iso3_code	gdp_2015	gdp_2020
Afghanistan	AFG	19134211763.86	20116137325.82
Albania	ALB	11386850129.84	15131866270.59
Algeria	DZA	165979279263.17	145009181490.62
American Samoa	ASM	673000000.00	709000000.00
Andorra	AND	2789881258.50	2891001149.36
Angola	AGO	87219290028.73	53619071176.14
Antigua and Barbuda	ATG	1336692592.59	1370281481.48
Argentina	ARG	594749285413.21	389591035520.68
Armenia	ARM	10553337672.99	12641209802.11
Aruba	ABW	2963128491.62	2496648044.69
Australia	AUS	1350534154255.76	1327836171068.51
Austria	AUT	381971148530.54	433258467676.52
Azerbaijan	AZE	53074370486.04	42693000000.00
Bahamas, The	BHS	11861900000.00	9699500000.00
Bahrain	BHR	31050638297.87	34723357446.81
Bangladesh	BGD	195078678697.23	373902134700.41
Barbados	BRB	4724691212.51	4689534961.76
Belarus	BLR	56454734396.58	61489588894.82
Belgium	BEL	462335574841.48	521676942134.63
Belize	BLZ	1734320479.14	1585631670.35
Benin	BEN	11388160958.25	15651545331.54
Bermuda	BMU	6654541000.00	6881662000.00
Bhutan	BTN	2003598212.99	2315436303.30
Bolivia	BOL	33000198248.91	36629843806.08
Bosnia and Herzegovina	BIH	16219819343.52	19955120004.66
Botswana	BWA	13578754072.47	14930072799.01
Brazil	BRA	1802211999538.68	1448565936739.56
British Virgin Islands	VGB		
Brunei Darussalam	BRN	12930394937.81	12005825769.51
Bulgaria	BGR	50781996712.76	69889347433.43
Burkina Faso	BFA	11832159275.60	17933606353.18
Burundi	BDI	3104003611.43	2780510624.64
Cabo Verde	CPV	1596800287.16	1703698676.70
Cambodia	KHM	18049954289.42	25872798012.19
Cameroon	CMR	32210232911.66	40804449726.02
Canada	CAN	1556508816217.14	1645423407568.36
Cayman Islands	CYM	4708336756.09	5608989195.53
Central African Republic	CAF	1695825708.46	2326720920.59
Chad	TCD	10950392219.91	10715396135.42
Channel Islands	CHI		
Chile	CHL	242496649874.24	252727193710.02
China	CHN	11061553079871.50	14687673892882.00
Colombia	COL	293481748240.78	270299982887.01
Comoros	COM	966029542.04	1223876064.52
Congo, Dem. Rep.	COD	37917704900.08	48716960860.07
Congo, Rep.	COG	11890259176.68	10483151093.69
Costa Rica	CRI	56441917652.98	62158002233.03
Cote dIvoire	CIV	45814637971.47	61348579465.10
Croatia	HRV	50163192883.15	57203783203.03
Cuba	CUB	87133000000.00	107352000000.00
Curacao	CUW	3042737430.17	2496174735.65
Cyprus	CYP	19842404304.89	24692095945.17
Czechia	CZE	188033050459.88	245339322066.76
Denmark	DNK	302673070846.86	356084867685.64
Djibouti	DJI	2424391785.44	3181071153.66
Dominica	DMA	540737037.04	504214814.81
Dominican Republic	DOM	71164825256.68	78844702329.08
Ecuador	ECU	99290381000.00	99291124000.00
Egypt, Arab Rep.	EGY	329366576819.41	365252651278.85
El Salvador	SLV	23438240000.00	24638720000.00
Equatorial Guinea	GNQ	13185496836.41	10099157269.80
Eritrea	ERI		
Estonia	EST	22890762090.15	30650285471.72
Eswatini	SWZ	4063245671.29	3984840580.41
Ethiopia	ETH	64589334978.80	107657734392.45
Faroe Islands	FRO	2561824640.68	3240759988.99
Fiji	FJI	4682546863.08	4574413823.31
Finland	FIN	234534382384.77	271836962949.42
France	FRA	2439188643162.50	2630317731455.26
French Polynesia	PYF	5325848045.43	5669368717.21
Gabon	GAB	14383107714.04	15316824039.33
Gambia, The	GMB	1378176868.32	1830412999.96
Georgia	GEO	14953950557.44	15842922532.72
Germany	DEU	3357585719351.56	3846413928653.71
Ghana	GHA	49406568432.67	70043199813.69
Gibraltar	GIB		
Greece	GRC	195683527003.38	188835201625.91
Greenland	GRL	2499115623.00	3075968328.70
Grenada	GRD	997007925.93	1043411111.11
Guam	GUM	5799000000.00	5844000000.00
Guatemala	GTM	62186186575.74	77604632620.65
Guinea	GIN	8794202443.67	14169626010.12
Guinea-Bissau	GNB	1048229629.42	1431758242.90
Guyana	GUY	4279840193.70	5471256594.72
Haiti	HTI	14833154471.75	14508218017.40
Honduras	HND	20979767785.21	23827840809.70
Hong Kong SAR, China	HKG	309383627028.56	344881400505.34
Hungary	HUN	125210324613.14	156743134665.96
Iceland	ISL	17517210519.09	21718075725.21
India	IND	2103587813812.75	2667687951796.56
Indonesia	IDN	860854235065.08	1058688935454.78
Iran, Islamic Rep.	IRN	408212918053.94	231547571240.47
Iraq	IRQ	166774109673.73	184369797315.44
Ireland	IRL	291580037584.33	425888950992.00
Isle of Man	IMN	7085288006.11	
Israel	ISR	300078278118.43	407100736594.06
Italy	ITA	1836637711060.55	1892574064222.11
Jamaica	JAM	14188935947.57	13812425036.59
Japan	JPN	4444930651964.18	5040107754084.11
Jordan	JOR	38587017887.32	43697659295.77
Kazakhstan	KAZ	184388432148.72	171082379532.99
Kenya	KEN	70120413328.78	100666542665.72
Kiribati	KIR	170291001.98	180911843.64
Korea, Dem. Peoples Rep.	PRK		
Korea, Rep.	KOR	1465773245547.15	1637895802792.90
Kosovo	XKX	6295820481.53	7716925356.13
Kuwait	KWT	114567298105.68	105960225688.15
Kyrgyz Republic	KGZ	6678178340.45	7780874536.66
Lao PDR	LAO	14426381187.09	18981800705.08
Latvia	LVA	27263090547.06	33645460617.24
Lebanon	LBN	49929337837.08	25948915861.20
Lesotho	LSO	2359759799.04	2250717718.47
Liberia	LBR	3227075700.00	3039982540.00
Libya	LBY	48717854039.97	52320215472.09
