"iso3"	"milex_usd_1983"	"milex_usd_1984"	"milex_usd_1985"	"milex_usd_1986"	"milex_usd_1987"	"milex_usd_1988"	"milex_usd_1989"	"milex_usd_1990"	"milex_usd_1991"	"milex_usd_1992"	"milex_usd_1993"	"milex_usd_1994"	"milex_usd_1995"	"milex_usd_1996"	"milex_usd_1997"	"milex_usd_1998"	"milex_usd_1999"	"milex_usd_2000"	"milex_usd_2001"	"milex_usd_2002"	"milex_usd_2003"	"milex_usd_2004"	"milex_usd_2005"	"milex_usd_2006"	"milex_usd_2007"	"milex_usd_2008"	"milex_usd_2009"	"milex_usd_2010"	"milex_usd_2011"	"milex_usd_2012"	"milex_usd_2013"	"milex_usd_2014"	"milex_usd_2015"	"milex_usd_2016"	"milex_usd_2017"	"milex_usd_2018"	"milex_usd_2019"	"milex_usd_2020"	"milex_usd_2021"	"country_name"	"gdp_2015"	"gdp_2020"	"population_2015"	"population_2020"	"gdppc_2020"	"high_income_2020"
"ABW"																																								"Aruba"	2963128491.62	2496648044.69	104339	106766	23384.2987907199	1
"AFG"																						125.1115575	122.7271931	131.3462313	219.5802143	240.5325946	251.8695148	298.1468525	325.8070037	238.5833854	217.1941071	268.2270742	199.5186148	185.8783101	191.4071132	198.0747286	225.8356439	279.5769549	278.250788	"Afghanistan"	19134211763.86	20116137325.82	34413603	38928341	516.747870807544	0
"AGO"	778.6282506	1066.247744	1146.46701	1156.494418	1487.39889	1469.38298	1948.559396	1751.153152	1031.247788	794.1388212	1774.397877	594.9911787	233.8437149	159.7419335	456.780475	170.2782926	1066.588789	583.6213336	404.29914	438.6862454	670.0211644	817.5335822	1365.055399	1970.309115	2032.432883	3163.591147	3311.193245	3500.794836	3639.496374	4144.634851	6090.751702	6846.249313	3608.299115	2764.054937	3062.872914	1983.613748	1470.938717	993.5944046	981.4510119	"Angola"	87219290028.73	53619071176.14	27884380	32866268	1631.43169087954	0
"ALB"	0	0	0	0	0	0	0	0	0	31.55965748	39.28984343	49.64950493	50.90752178	45.71335611	29.825492	33.63804744	42.78420521	45.36250339	53.23204516	58.6493525	76.14288176	100.9223584	110.1408527	140.9839007	194.8403092	255.6779578	182.7368625	185.893242	197.0067892	183.2046957	180.0155088	178.120368	132.3506676	130.8531626	144.3826887	175.8866886	200.1110363	187.4332339	236.4217561	"Albania"	11386850129.84	15131866270.59	2880703	2837849	5332.16047456718	0
"AND"																																								"Andorra"	2789881258.5	2891001149.36	77993	77265	37416.6977203132	1
"ARE"															3335.766741	4010.347175	4233.08373	5875.833901	5797.957794	5354.118448	5834.717495	6816.882233	6604.220558	7165.418652	8460.993873	11571.68142	13836.35126	17504.69707	19181.7563	19024.09803	23561.06195	22755.07148								"United Arab Emirates"	358134944420.5	358868765174.92	9262896	9890400	36284.5552429548	1
"ARG"	2848.053181	2527.749815	2027.221261	2449.545721	2485.659656	2696.341658	1440.92219	2050.907629	2858.778842	3254.455192	3368.550452	3754.724687	3801.950488	3379.13877	3340.670335	3398.69935	3461.730865	3266.633317	3183.591796	1114.172483	1374.873734	1465.809188	1699.579152	1847.55313	2296.448242	2788.980205	2981.85229	3475.348407	4051.930105	4563.217859	5137.974301	4979.442724	5482.616701	4509.64766	5459.643672	3842.852365	3132.654926	2830.929705	2591.642985	"Argentina"	594749285413.21	389591035520.68	43131966	45376763	8585.69474249805	0
"ARM"										0	9.829763866		52.22858382	52.41026855	64.06212119	66.75757306	68.23414857	68.05214207	66.24762646	64.10640565	76.58799889	98.0704882	140.7381027	188.1891164	280.1086883	395.9943654	359.4993435	395.0115078	390.8714339	380.5716789	444.5518595	457.8070218	447.3798075	431.3962186	443.6104133	513.2520265	652.0001748	633.9604001	619.4354717	"Armenia"	10553337672.99	12641209802.11	2925559	2963234	4266.01807420879	0
"ASM"																																								"American Samoa"	6.73e+08	7.09e+08	55806	55197	12844.9009909959	1
"ATG"																																								"Antigua and Barbuda"	1336692592.59	1370281481.48	93571	97928	13992.7444804346	1
"AUS"	4511.671066	4925.319433	4386.859326	4606.710028	5057.135655	5836.347868	6300.015815	6704.213698	7023.509067	6882.09158	6733.82929	7459.696582	7665.878446	8202.776517	7936.884917	7107.542891	7770.250653	7273.760313	7043.145895	7946.766202	9926.649415	11995.21971	13237.7985	14239.77951	17186.44096	18633.09232	18960.13851	23217.69282	26597.19866	26216.58085	24825.26259	25783.70871	24046.20586	26382.94705	27691.11242	26839.82091	26079.34631	27300.8947	31753.71622	"Australia"	1350534154255.76	1327836171068.51	23815995	25693267	51680.3165229439	1
"AUT"	991.9950975	949.7152917	1036.872489	1475.426089	1737.112605	1713.954577	1623.488055	1972.701682	1994.055546	2139.925322	2115.115267	2227.56055	2557.834494	2457.903049	2164.802343	2159.796003	2124.379546	1925.557398	1788.798311	1881.746741	2381.962769	2679.282065	2686.166244	2640.185362	3499.817967	3746.731607	3334.75494	3218.351224	3409.721209	3187.227449	3229.065841	3305.159256	2665.409782	2885.947386	3153.118624	3387.982012	3237.796686	3601.618603	3825.331126	"Austria"	381971148530.54	433258467676.52	8642699	8916864	48588.6593847927	1
"AZE"										11.0701107	77.51937984	43.94274706	66.15996891	71.60684124	92.08669197	107.2628586	120.262174	119.5756517	131.9636601	139.8940919	176.5521623	228.2496316	304.5214777	717.1118536	946.5997921	1607.799226	1472.909977	1476.608734	3080.084996	3246.122613	3367.574161	3427.179917	2900.551382	1396.969108	1528.859592	1672.176471	1854.235294	2237.764706	2703.176471	"Azerbaijan"	53074370486.04	4.2693e+10	9649341	10093121	4229.91064904503	0
"BDI"	34.3696442	29.93843404	32.22029812	34.60773752	30.78485643	34.25549343	37.90328172	39.60234738	42.75175883	38.98647643	36.26740259	41.90974503	42.10892988	50.89398078	61.87012383	58.73603623	50.57118826	42.32155222	53.23037311	44.91006705	43.41320131	44.87237715	49.55712938	44.71750204	46.30870622	43.85631995				58.96666228	60.85950009	62.17729474	66.16458444	66.46284308	63.90867843	65.43659526	84.68941392	67.47409272	68.37639714	"Burundi"	3104003611.43	2780510624.64	10160034	11890781	233.837510306514	0
"BEL"	2671.831608	2407.447484	2428.223977	3404.311038	4162.992929	4097.149308	3880.733006	4644.324241	4624.500746	4131.298112	3746.042851	3944.101813	4449.014835	4241.865968	3684.095389	3664.288413	3598.44752	3190.805233	3036.035472	3147.146017	3875.697772	4262.663513	4228.224643	4307.895341	5163.979974	6295.821584	5620.670063	5244.720513	5499.370964	5168.997834	5263.164883	5191.507315	4202.06277	4255.489555	4432.808396	4840.126058	4761.195701	5442.835974	6311.494797	"Belgium"	462335574841.48	521676942134.63	11274196	11544241	45189.3669003125	1
"BEN"	17.76595131	21.2377877	19.81022252	26.27733854	35.60293741	36.93158927	28.52593038	32.81729198									17.84313439	14.49627516	13.11253562	26.00044764	34.5440468	41.78047834	44.70602956	46.78613093		64.72460111				78.22309104	86.00315764	92.99070619	90.89608589	79.58156805	116.1427824	90.21242599	68.11239031	71.81781848	97.42448881	"Benin"	11388160958.25	15651545331.54	10575962	12123198	1291.04097215438	0
"BFA"	29.31775598	26.96832869	27.10661684	51.18017014	50.71255785	57.18688727	66.81650617	84.46550236	69.50554222	71.11661856	60.52697563	30.25909349	36.86281424	37.14187414	38.54924623	39.49473856	41.74117548	36.65853905	36.83296523	42.46844996	50.75705437	65.68424241	73.84334216	72.63286733	107.8167285	116.9995869	127.3332966	123.7004747	138.8508602	147.7296989	166.1363452	177.1669718	147.9347367	149.4673632	191.0658388	305.7810791	357.9215575	382.4646774	458.2790984	"Burkina Faso"	11832159275.6	17933606353.18	18110616	20903278	857.932729650345	0
"BGD"	231.8044925	244.3375715	224.9480071	248.7964172	288.3118397	331.9955866	378.7961352	373.023439	381.7201101	427.723625	471.0446723	547.4175222	620.0951559	638.9588448	681.915124	701.5856004	737.4125736	740.79816	705.4816952	681.8161617	719.4429569	770.6411603	773.6776682	829.6827948	953.4642236	1030.020018	1258.791157	1624.625086	1801.539802	1823.425076	2047.989071	2355.991525	2815.281641	3239.75351	3266.033239	3649.623808	4348.501895	4558.171468	4882.596685	"Bangladesh"	195078678697.23	373902134700.41	156256287	164689383	2270.34753479166	0
"BGR"							2071.428571	794.5205479	232.1763866	255.7709115	282.6742433	241.9934348	311.1471056	213.6163563	244.3693962	320.3890113	357.2245396	351.3432049	406.0035428	455.9504665	569.0540775	620.9090159	667.6703957	715.7195354	990.1682936	1161.451478	904.9612921	832.549293	757.93126	722.052495	811.6343302	747.5325321	632.509635	670.5928584	720.0379709	961.2972746	2158.557527	1074.134515	1216.592091	"Bulgaria"	50781996712.76	69889347433.43	7177991	6934015	10079.20338122	0
