country_name	iso3	milex_usd_1949	milex_usd_1950	milex_usd_1951	milex_usd_1952	milex_usd_1953	milex_usd_1954	milex_usd_1955	milex_usd_1956	milex_usd_1957	milex_usd_1958	milex_usd_1959	milex_usd_1960	milex_usd_1961	milex_usd_1962	milex_usd_1963	milex_usd_1964	milex_usd_1965	milex_usd_1966	milex_usd_1967	milex_usd_1968	milex_usd_1969	milex_usd_1970	milex_usd_1971	milex_usd_1972	milex_usd_1973	milex_usd_1974	milex_usd_1975	milex_usd_1976	milex_usd_1977	milex_usd_1978	milex_usd_1979	milex_usd_1980	milex_usd_1981	milex_usd_1982	milex_usd_1983	milex_usd_1984	milex_usd_1985	milex_usd_1986	milex_usd_1987	milex_usd_1988	milex_usd_1989	milex_usd_1990	milex_usd_1991	milex_usd_1992	milex_usd_1993	milex_usd_1994	milex_usd_1995	milex_usd_1996	milex_usd_1997	milex_usd_1998	milex_usd_1999	milex_usd_2000	milex_usd_2001	milex_usd_2002	milex_usd_2003	milex_usd_2004	milex_usd_2005	milex_usd_2006	milex_usd_2007	milex_usd_2008	milex_usd_2009	milex_usd_2010	milex_usd_2011	milex_usd_2012	milex_usd_2013	milex_usd_2014	milex_usd_2015	milex_usd_2016	milex_usd_2017	milex_usd_2018	milex_usd_2019	milex_usd_2020	milex_usd_2021
Algeria	DZA															66.43630015	99.85699991	105.5283914	104.5156429	99.24935083	99.24935083	99.24935083	98.84425144	99.94626107	109.9428413	136.7570978	260.16863	332.2521592	480.6403735	471.669448	627.8524421	711.6812474	890.1744648	806.5693346	932.4527077	952.4306716	929.2908213	953.2996539	1127.103217	1196.971384	1028.611425	854.3009453	904.2691552	565.0980626	1053.301643	1276.911083	1334.911648	1234.655192	1452.431008	1752.395278	1910.962052	1826.49657	1881.163649	2091.627274	2100.602521	2206.395762	2802.224794	2924.820167	3093.978245	3945.815125	5172.336907	5280.588156	5671.309117	8652.23704	9326.287144	10161.58824	9724.379972	10412.714	10217.0817	10073.36402	9583.724288	10303.60058	9708.27744	9112.461105
Libya	LBY											5.571997771	5.571997771	7.167997133	16.68799332	18.67599253	21.47599141	29.11998835	58.51997659	79.51996819	95.47996181	143.0799428	242.479903	243.0358716	202.7682271	298.30748	431.682379	287.7882527	326.2951316	479.6470878	729.9418006	853.5691486	1074.139253	557.3345223	709.3324506															1251.990817	1443.621758	1153.487088	1085.534665	819.7479936	452.5136148	541.4017665	685.0732201	690.9307693	614.3562962	639.1370462	1100.068652				2987.413408	3964.690154	3755.652496							
Morocco	MAR								23.71428571	35.40197972	41.69227764	41.88051735	41.59676237	48.27595747	53.84854036	74.8939332	69.993222	63.17570038	67.93808505	70.34891878	90.90028831	84.97200864	88.92419509	111.2880102	140.4469916	185.7839938	241.8891612	413.3261279	577.2394333	731.455472	772.559382	896.353802	1117.955622	975.5814628	959.4854409	628.153423	512.4544012	692.4720497	728.5456327	815.3861061	917.2691448	990.5550902	1069.720492	1148.44571	1228.526553	1251.786538	1365.250019	1437.898701	1447.128689	1400.949501	1444.959716	1007.810763	1043.42343	1470.317615	1474.874326	1819.23007	1937.523822	2031.131381	2134.594876	2408.35025	2944.958473	3055.069442	3160.804832	3342.698956	3402.700836	4065.552317	4048.612524	3268.363376	3327.03189	3461.461531	3696.856945	3721.323837	4830.956394	5378.366535
Tunisia	TUN								3.714285714	6.411149826	9.523809524	14.28571429	15.95238095	18.57142857	14.28571429	15.23809524	17.4789916	12.76190476	13.71428571	15.42857143	17.52380952	16.95238095	22.47619048	24.86054192	31.65067714	38.1882181	46.50544778	75.3231063	83.96011894	121.692505	148.4966516	160.90065	194.0961196	228.8357324	328.6004263	383.4894743	249.4744688	215.9387223	206.7934546	194.4097835	232.9203408	234.0620296	247.8558815	260.4310307	289.6771152	276.1671349	297.0688547	342.9024584	397.4695092	358.1665778	365.8493747	357.0133954	332.3897627	335.6479068	345.4242367	407.3855611	444.6514167	468.46458	497.212664	490.6505588	578.9114873	564.7759337	571.1890457	715.2395971	681.2259506	759.3588812	908.3572876	979.4940419	987.7347052	858.9495813	844.2273671	1000.922131	1157.372367	1250.45438
Angola	AGO																														343.2716091	504.7128819	497.3594492	618.8916371	668.4938833	778.6282506	1066.247744	1146.46701	1156.494418	1487.39889	1469.38298	1948.559396	1751.153152	1031.247788	794.1388212	1774.397877	594.9911787	233.8437149	159.7419335	456.780475	170.2782926	1066.588789	583.6213336	404.29914	438.6862454	670.0211644	817.5335822	1365.055399	1970.309115	2032.432883	3163.591147	3311.193245	3500.794836	3639.496374	4144.634851	6090.751702	6846.249313	3608.299115	2764.054937	3062.872914	1983.613748	1470.938717	993.5944046	981.4510119
Benin	BEN												1.301005322	2.173203947	2.734537618	2.963071799	3.803662454	3.994923713	3.724387206	3.910553209	4.293821825	4.015987013	4.099087202	4.285361496	4.904216992	6.698401446	6.44772647	7.857666124	7.160493827	10.14734614	8.552841493	17.56282848	23.61794775	17.18611421	16.55477989	17.76595131	21.2377877	19.81022252	26.27733854	35.60293741	36.93158927	28.52593038	32.81729198									17.84313439	14.49627516	13.11253562	26.00044764	34.5440468	41.78047834	44.70602956	46.78613093		64.72460111				78.22309104	86.00315764	92.99070619	90.89608589	79.58156805	116.1427824	90.21242599	68.11239031	71.81781848	97.42448881
Botswana	BWA																													5.650505962	14.30586229	24.35561903	31.8440606	31.16268175	23.55146359	24.45461424	26.10966057	20.99791335	34.31090818	73.82634281	93.74709476	102.7984158	156.2508398	172.2691882	177.9860456	185.6714829	170.4337623	165.8739778	140.5601348	160.5076751	181.0510474	169.5787562	184.7183946	210.3220936	223.5492588	301.0143578	314.0388971	283.8357451	272.9342748	306.4514027	332.4002543	330.1472787	348.6727253	363.3244812	326.8741617	306.4385736	346.2813217	383.7398775	514.4634492	522.4304555	498.0874324	514.7209302	499.0274795	517.8465684
Burkina Faso	BFA												1.26837823	1.643154204	4.901760716	5.281287753	5.358593135	3.50933033	3.90755379	3.69510693	3.760628522	4.023680475	4.18591694	4.343468092	4.947862936	6.079259183	6.269084564	18.06236673	19.5312827	22.90377727	32.37228348	32.0324179	35.36065884	33.91589476	32.86610713	29.31775598	26.96832869	27.10661684	51.18017014	50.71255785	57.18688727	66.81650617	84.46550236	69.50554222	71.11661856	60.52697563	30.25909349	36.86281424	37.14187414	38.54924623	39.49473856	41.74117548	36.65853905	36.83296523	42.46844996	50.75705437	65.68424241	73.84334216	72.63286733	107.8167285	116.9995869	127.3332966	123.7004747	138.8508602	147.7296989	166.1363452	177.1669718	147.9347367	149.4673632	191.0658388	305.7810791	357.9215575	382.4646774	458.2790984
Burundi	BDI														8.42	1.012	1.162	2.153481481	2.286857143	2.376	2.590857143	3.337142857		2.628571429	3.6	5.923067599	7.682539683	8.533333333	9.971014493	13.95555556	17.03333333	20	27.76333333	29.99555556	36.66555556	34.3696442	29.93843404	32.22029812	34.60773752	30.78485643	34.25549343	37.90328172	39.60234738	42.75175883	38.98647643	36.26740259	41.90974503	42.10892988	50.89398078	61.87012383	58.73603623	50.57118826	42.32155222	53.23037311	44.91006705	43.41320131	44.87237715	49.55712938	44.71750204	46.30870622	43.85631995				58.96666228	60.85950009	62.17729474	66.16458444	66.46284308	63.90867843	65.43659526	84.68941392	67.47409272	68.37639714
Cameroon	CMR																						20.33986607	21.50125656	24.89405939	31.63682371	34.62537131	46.77037791	48.4703913	55.16729078	71.43616833	88.35475409	99.86747444	120.2475978	131.6165864	129.8987577	127.2436418	116.1902939	145.4118612	163.1280009	154.3706857	146.8693575	180.5777459	178.1983432	183.7966391	168.1752206	94.51734044	113.5755327	116.9363036	118.7111188	137.2459115	144.7046365	123.0343439	124.3017084	145.6266105	188.4996559	221.1079247	223.0846231	256.9278433	296.6989173	346.5861257	343.265154	354.0543978	347.4778857	354.4474631	392.8406309	401.5291181	353.8154946	387.4378309	408.1575751	429.8921806	422.294772	393.2993901	443.336832
