"iso3"	"milex_usd_2021"	"country_name"	"gdp_2015"	"gdp_2020"	"population_2015"	"population_2020"	"gdppc_2020"	"high_income_2020"
"ABW"		"Aruba"	2963128491.62	2496648044.69	104339	106766	23384.2987907199	1
"AFG"	278.250788	"Afghanistan"	19134211763.86	20116137325.82	34413603	38928341	516.747870807544	0
"AGO"	981.4510119	"Angola"	87219290028.73	53619071176.14	27884380	32866268	1631.43169087954	0
"ALB"	236.4217561	"Albania"	11386850129.84	15131866270.59	2880703	2837849	5332.16047456718	0
"AND"		"Andorra"	2789881258.5	2891001149.36	77993	77265	37416.6977203132	1
"ARE"		"United Arab Emirates"	358134944420.5	358868765174.92	9262896	9890400	36284.5552429548	1
"ARG"	2591.642985	"Argentina"	594749285413.21	389591035520.68	43131966	45376763	8585.69474249805	0
"ARM"	619.4354717	"Armenia"	10553337672.99	12641209802.11	2925559	2963234	4266.01807420879	0
"ASM"		"American Samoa"	6.73e+08	7.09e+08	55806	55197	12844.9009909959	1
"ATG"		"Antigua and Barbuda"	1336692592.59	1370281481.48	93571	97928	13992.7444804346	1
"AUS"	31753.71622	"Australia"	1350534154255.76	1327836171068.51	23815995	25693267	51680.3165229439	1
"AUT"	3825.331126	"Austria"	381971148530.54	433258467676.52	8642699	8916864	48588.6593847927	1
"AZE"	2703.176471	"Azerbaijan"	53074370486.04	4.2693e+10	9649341	10093121	4229.91064904503	0
"BDI"	68.37639714	"Burundi"	3104003611.43	2780510624.64	10160034	11890781	233.837510306514	0
"BEL"	6311.494797	"Belgium"	462335574841.48	521676942134.63	11274196	11544241	45189.3669003125	1
"BEN"	97.42448881	"Benin"	11388160958.25	15651545331.54	10575962	12123198	1291.04097215438	0
"BFA"	458.2790984	"Burkina Faso"	11832159275.6	17933606353.18	18110616	20903278	857.932729650345	0
"BGD"	4882.596685	"Bangladesh"	195078678697.23	373902134700.41	156256287	164689383	2270.34753479166	0
"BGR"	1216.592091	"Bulgaria"	50781996712.76	69889347433.43	7177991	6934015	10079.20338122	0
"BHR"	1381.382979	"Bahrain"	31050638297.87	34723357446.81	1371853	1701583	20406.5023256638	1
"BHS"		"Bahamas, The"	11861900000	9699500000	374200	393248	24665.0968345675	1
"BIH"	192.2007255	"Bosnia and Herzegovina"	16219819343.52	19955120004.66	3429362	3280815	6082.36673041912	0
"BLR"	762.7762241	"Belarus"	56454734396.58	61489588894.82	9461076	9379952	6555.42681826304	0
"BLZ"	21.81705	"Belize"	1734320479.14	1585631670.35	360926	397621	3987.79659613049	0
"BMU"		"Bermuda"	6654541000	6881662000	65237	63893	107706.039785266	1
"BOL"	625.3367645	"Bolivia"	33000198248.91	36629843806.08	10869732	11673029	3137.98961744034	0
"BRA"	19187.12248	"Brazil"	1802211999538.68	1448565936739.56	204471759	212559409	6814.87563196772	0
"BRB"		"Barbados"	4724691212.51	4689534961.76	285327	287371	16318.7481052716	1
"BRN"	453.3377986	"Brunei Darussalam"	12930394937.81	12005825769.51	414914	437483	27442.953827943	1
"BTN"		"Bhutan"	2003598212.99	2315436303.3	727885	771612	3000.77798595667	0
