country_name	country_iso3_code	population_2015	population_2020
Afghanistan	AFG	34413603	38928341
Albania	ALB	2880703	2837849
Algeria	DZA	39728020	43851043
American Samoa	ASM	55806	55197
Andorra	AND	77993	77265
Angola	AGO	27884380	32866268
Antigua and Barbuda	ATG	93571	97928
Argentina	ARG	43131966	45376763
Armenia	ARM	2925559	2963234
Aruba	ABW	104339	106766
Australia	AUS	23815995	25693267
Austria	AUT	8642699	8916864
Azerbaijan	AZE	9649341	10093121
Bahamas, The	BHS	374200	393248
Bahrain	BHR	1371853	1701583
Bangladesh	BGD	156256287	164689383
Barbados	BRB	285327	287371
Belarus	BLR	9461076	9379952
Belgium	BEL	11274196	11544241
Belize	BLZ	360926	397621
Benin	BEN	10575962	12123198
Bermuda	BMU	65237	63893
Bhutan	BTN	727885	771612
Bolivia	BOL	10869732	11673029
Bosnia and Herzegovina	BIH	3429362	3280815
Botswana	BWA	2120716	2351625
Brazil	BRA	204471759	212559409
British Virgin Islands	VGB	29148	30237
Brunei Darussalam	BRN	414914	437483
Bulgaria	BGR	7177991	6934015
Burkina Faso	BFA	18110616	20903278
Burundi	BDI	10160034	11890781
Cabo Verde	CPV	524740	555988
Cambodia	KHM	15521435	16718971
Cameroon	CMR	23298376	26545864
Canada	CAN	35702908	38037204
Cayman Islands	CYM	61721	65720
Central African Republic	CAF	4493171	4829764
Chad	TCD	14110971	16425859
Channel Islands	CHI	165387	173859
Chile	CHL	17969356	19116209
China	CHN	1379860000	1411100000
Colombia	COL	47520667	50882884
Comoros	COM	777435	869595
Congo, Dem. Rep.	COD	76244532	89561404
Congo, Rep.	COG	4856093	5518092
Costa Rica	CRI	4847805	5094114
Cote dIvoire	CIV	23226148	26378275
Croatia	HRV	4203604	4047680
Cuba	CUB	11324777	11326616
Curacao	CUW	157980	154947
Cyprus	CYP	1160987	1207361
Czechia	CZE	10546059	10697858
Denmark	DNK	5683483	5831404
Djibouti	DJI	913998	988002
Dominica	DMA	71175	71991
Dominican Republic	DOM	10281675	10847904
Ecuador	ECU	16212022	17643060
Egypt, Arab Rep.	EGY	92442549	102334403
El Salvador	SLV	6325121	6486201
Equatorial Guinea	GNQ	1168575	1402985
Eritrea	ERI	..	..
Estonia	EST	1315407	1329479
Eswatini	SWZ	1104038	1160164
Ethiopia	ETH	100835453	114963583
Faroe Islands	FRO	48055	48865
Fiji	FJI	868632	896444
Finland	FIN	5479531	5529543
France	FRA	66548272	67379908
French Polynesia	PYF	273119	280904
Gabon	GAB	1947690	2225728
