iso3	interview_id	q86
CYP	196070011	4
CYP	196070058	4
CYP	196070067	4
CYP	196070069	4
CYP	196070267	3
CYP	196070272	4
CYP	196070286	4
CYP	196070307	4
CYP	196070316	4
CYP	196070323	3
CYP	196070338	4
CYP	196070340	4
CYP	196070353	4
CYP	196070358	4
CYP	196070400	4
ECU	218070001	4
ECU	218070003	3
ECU	218070005	3
ECU	218070017	2
ECU	218070021	4
ECU	218070045	4
ECU	218070069	3
ECU	218070074	4
ECU	218070116	2
ECU	218070170	2
ECU	218070197	3
ECU	218070199	2
ECU	218070206	3
ECU	218070210	3
ECU	218070212	3
ECU	218070228	4
ECU	218070238	4
ECU	218070248	2
ECU	218070252	3
ECU	218070256	4
ECU	218070279	3
ECU	218070373	3
ECU	218070433	3
ECU	218070442	4
ECU	218070448	2
ECU	218070481	4
ECU	218070497	4
ECU	218070521	4
ECU	218070562	3
ECU	218070563	4
ECU	218070582	2
ECU	218070607	2
ECU	218070636	1
ECU	218070656	4
ECU	218070708	4
ECU	218070711	3
ECU	218070716	2
ECU	218070719	2
ECU	218070733	3
ECU	218070734	4
ECU	218070745	4
ECU	218070749	3
ECU	218070758	2
ECU	218070767	3
ECU	218070782	3
ECU	218070784	2
ECU	218070797	2
ECU	218070805	2
ECU	218070807	3
ECU	218070808	2
ECU	218070809	3
ECU	218070819	4
ECU	218070854	4
ECU	218070881	4
ECU	218070883	3
ECU	218070911	2
ECU	218070913	3
ECU	218070921	4
ECU	218070925	4
ECU	218070937	4
ECU	218070938	4
ECU	218070962	4
ECU	218070997	2
ECU	218071015	4
ECU	218071030	4
ECU	218071032	3
ECU	218071061	4
ECU	218071082	2
ECU	218071147	2
ECU	218071153	3
ECU	218071157	3
ECU	218071172	4
ECU	218071176	2
GRC	300070001	2
GRC	300070007	2
GRC	300070009	4
GRC	300070012	2
GRC	300070013	2
GRC	300070014	2
GRC	300070015	3
GRC	300070016	2
GRC	300070031	2
GRC	300070032	2
GRC	300070037	2
GRC	300070044	4
GRC	300070049	3
GRC	300070053	3
GRC	300070054	2
GRC	300070056	2
GRC	300070058	2
GRC	300070097	3
GRC	300070119	4
GRC	300070122	3
GRC	300070241	3
GRC	300070243	3
GRC	300070269	3
GRC	300070274	4
GRC	300070275	4
GRC	300070283	3
GRC	300070287	3
GRC	300070301	2
GRC	300070321	4
GRC	300070344	3
GRC	300070350	2
GRC	300070384	2
GRC	300070395	2
GRC	300070405	3
GRC	300070412	2
GRC	300070418	2
GRC	300070419	2
GRC	300070524	4
GRC	300070589	3
GRC	300070601	2
GRC	300070627	2
GRC	300070630	3
GRC	300070659	2
GRC	300070733	3
GRC	300070737	3
GRC	300070740	4
GRC	300070743	3
GRC	300070752	2
GRC	300070858	2
GRC	300070899	2
GRC	300070903	4
GRC	300070906	2
GRC	300070967	3
GRC	300071006	4
GRC	300071046	2
GRC	300071051	4
GRC	300071056	4
GRC	300071083	3
GRC	300071087	2
GRC	300071112	4
GRC	300071115	4
IDN	360070127	2
JOR	400070029	3
JOR	400070076	4
JOR	400070312	4
JOR	400070349	4
JOR	400071051	2
JOR	400071105	3
JOR	400070020	2
JOR	400070028	4
JOR	400070078	4
JOR	400070082	4
JOR	400070144	4
JOR	400070234	4
JOR	400070273	3
JOR	400070692	3
JOR	400070770	3
JOR	400070926	2
JOR	400070966	2
JOR	400071029	4
JOR	400071088	4
JOR	400070072	4
JOR	400070205	4
JOR	400070232	4
JOR	400070392	1
JOR	400070419	4
JOR	400070449	1
JOR	400070794	3
JOR	400070796	3
JOR	400070876	2
JOR	400070900	2
JOR	400070959	4
JOR	400071005	4
JOR	400070074	4
JOR	400070084	4
JOR	400070146	4
JOR	400070174	3
JOR	400070266	3
JOR	400070274	3
JOR	400070294	3
JOR	400070443	4
JOR	400070473	2
JOR	400070596	1
JOR	400070720	4
JOR	400070758	3
JOR	400070776	2
JOR	400070980	4
JOR	400070211	3
JOR	400070269	1
JOR	400070387	2
JOR	400070413	4
JOR	400070588	1
JOR	400070613	2
JOR	400070760	3
JOR	400070764	2
JOR	400070964	4
JOR	400071161	4
JOR	400070305	4
JOR	400070411	2
JOR	400070454	2
JOR	400070457	2
JOR	400070607	1
JOR	400070990	4
JOR	400071014	1
JOR	400071165	4
JOR	400070056	3
JOR	400070159	3
JOR	400070192	4
JOR	400070644	2
JOR	400070822	1
JOR	400071023	4
JOR	400071025	4
JOR	400070096	4
JOR	400070137	4
JOR	400070447	2
JOR	400070523	4
JOR	400070704	3
JOR	400070911	4
JOR	400070239	2
JOR	400070416	4
JOR	400070452	2
JOR	400070656	3
JOR	400070755	3
JOR	400070806	4
JOR	400070938	4
JOR	400070948	1
JOR	400071036	4
JOR	400071173	4
JOR	400070058	4
JOR	400070149	4
JOR	400070271	2
JOR	400070328	4
JOR	400070393	2
JOR	400070414	2
JOR	400070557	4
JOR	400070634	4
JOR	400070784	4
JOR	400070022	4
JOR	400070062	4
JOR	400070151	4
JOR	400070171	1
JOR	400070362	2
JOR	400070609	4
JOR	400070715	4
JOR	400070754	3
JOR	400070835	1
JOR	400070894	4
JOR	400071042	3
JOR	400071123	2
JOR	400071130	4
JOR	400071145	3
JOR	400070094	3
JOR	400070298	3
JOR	400070477	4
JOR	400070512	4
JOR	400070595	1
JOR	400070606	2
